Date,OPEN,HIGH,LOW,PREV_CLOSE,VOLUME,symbol_name
4/10/2023,2350.00,2350.40,2321.55,2341.45,"59,81,688",RELIANCE
4/6/2023,2318.15,2354.00,2318.15,2325.85,"85,07,771",RELIANCE
4/5/2023,2348.00,2348.00,2308.55,2331.45,"75,05,339",RELIANCE
4/3/2023,2345.00,2349.00,2315.00,2331.05,"47,50,238",RELIANCE
3/31/2023,2255.00,2343.45,2254.70,2234.70,"1,30,01,005",RELIANCE
3/29/2023,2239.00,2244.80,2211.10,2248.00,"86,78,073",RELIANCE
3/28/2023,2245.00,2256.50,2237.00,2237.55,"58,04,018",RELIANCE
3/27/2023,2217.50,2254.00,2200.20,2203.30,"64,86,068",RELIANCE
3/24/2023,2245.25,2250.00,2198.00,2247.80,"57,11,497",RELIANCE
3/23/2023,2268.00,2269.90,2243.05,2276.60,"74,99,082",RELIANCE
3/22/2023,2285.00,2291.45,2270.00,2269.70,"50,39,622",RELIANCE
3/21/2023,2218.95,2274.00,2217.00,2201.25,"98,76,263",RELIANCE
3/20/2023,2215.00,2220.00,2180.00,2223.10,"90,10,595",RELIANCE
3/17/2023,2244.75,2251.95,2212.70,2225.90,"1,56,97,554",RELIANCE
3/16/2023,2243.00,2254.00,2202.20,2237.05,"84,74,595",RELIANCE
3/15/2023,2284.10,2298.30,2227.40,2275.95,"1,00,27,725",RELIANCE
3/14/2023,2280.00,2304.95,2269.05,2284.50,"73,96,699",RELIANCE
3/13/2023,2329.00,2344.00,2275.00,2322.70,"58,94,088",RELIANCE
3/10/2023,2341.50,2344.00,2315.05,2359.25,"61,53,681",RELIANCE
3/9/2023,2416.00,2416.90,2355.10,2417.35,"74,92,509",RELIANCE
3/8/2023,2408.70,2419.00,2385.00,2408.70,"72,83,694",RELIANCE
3/6/2023,2400.00,2424.60,2400.00,2385.40,"46,94,338",RELIANCE
3/3/2023,2349.15,2393.45,2341.55,2326.05,"67,58,115",RELIANCE
3/2/2023,2337.00,2351.65,2321.60,2343.90,"43,07,425",RELIANCE
3/1/2023,2344.00,2345.50,2323.25,2322.55,"53,30,852",RELIANCE
2/28/2023,2356.10,2367.00,2313.65,2367.85,"1,01,50,245",RELIANCE
2/27/2023,2382.00,2389.65,2351.70,2383.70,"51,68,667",RELIANCE
2/24/2023,2372.00,2396.15,2368.00,2367.50,"43,53,814",RELIANCE
2/23/2023,2378.00,2394.75,2361.35,2378.90,"45,46,655",RELIANCE
2/22/2023,2425.95,2430.00,2375.05,2434.10,"50,87,729",RELIANCE
2/21/2023,2424.00,2446.80,2412.35,2414.40,"61,43,298",RELIANCE
2/20/2023,2445.00,2449.75,2410.10,2440.20,"40,78,245",RELIANCE
2/17/2023,2420.00,2447.50,2410.60,2430.05,"54,50,092",RELIANCE
2/16/2023,2449.45,2463.80,2425.05,2431.95,"79,67,558",RELIANCE
2/15/2023,2376.00,2437.20,2373.00,2378.10,"1,54,61,902",RELIANCE
2/14/2023,2329.95,2381.90,2323.65,2323.35,"66,09,564",RELIANCE
2/13/2023,2340.20,2350.00,2313.55,2336.65,"47,77,674",RELIANCE
2/10/2023,2354.90,2354.90,2321.30,2356.05,"49,79,789",RELIANCE
2/9/2023,2353.45,2370.85,2334.00,2351.95,"60,79,228",RELIANCE
2/8/2023,2313.00,2359.90,2307.00,2305.90,"97,65,490",RELIANCE
2/7/2023,2312.00,2327.40,2293.00,2311.45,"69,85,001",RELIANCE
2/6/2023,2315.00,2321.00,2305.80,2329.00,"68,47,679",RELIANCE
2/3/2023,2349.00,2349.00,2293.00,2326.95,"1,13,98,850",RELIANCE
2/2/2023,2318.00,2348.00,2311.00,2339.90,"63,05,317",RELIANCE
2/1/2023,2379.95,2379.95,2305.00,2353.85,"89,29,007",RELIANCE
1/31/2023,2382.00,2387.65,2341.00,2359.75,"1,04,72,167",RELIANCE
1/30/2023,2331.70,2371.90,2301.00,2337.35,"1,00,47,822",RELIANCE
1/27/2023,2384.40,2387.35,2311.65,2382.55,"1,19,20,991",RELIANCE
1/25/2023,2412.45,2414.70,2380.00,2415.95,"57,15,684",RELIANCE
1/24/2023,2440.00,2443.65,2387.35,2430.30,"76,09,558",RELIANCE
1/23/2023,2449.00,2466.20,2425.00,2442.65,"50,55,324",RELIANCE
1/20/2023,2475.00,2475.00,2437.25,2472.05,"68,90,325",RELIANCE
1/19/2023,2472.90,2481.15,2456.65,2474.70,"55,10,333",RELIANCE
1/18/2023,2473.50,2491.10,2460.35,2478.80,"62,06,382",RELIANCE
1/17/2023,2458.00,2483.00,2450.60,2444.10,"49,61,585",RELIANCE
1/16/2023,2472.70,2479.65,2427.00,2467.60,"62,87,407",RELIANCE
1/13/2023,2458.40,2472.90,2434.60,2471.60,"95,15,473",RELIANCE
